# ph	T_bb	err	R_bb	err	L_bb	err

59598.62	7.95e+03	6.15e+02	3.79e+14	5.33e+13	4.09e+41	1.71e+41
59598.62	7.95e+03	6.15e+02	3.59e+14	5.04e+13	3.66e+41	1.53e+41
59600.61	7.95e+03	6.15e+02	3.71e+14	5.22e+13	3.92e+41	1.64e+41
59600.62	7.95e+03	6.15e+02	2.70e+14	3.79e+13	2.07e+41	8.65e+40
59601.63	7.95e+03	6.15e+02	7.71e+13	1.08e+13	1.69e+40	7.07e+39
59602.65	7.95e+03	6.15e+02	2.38e+14	3.35e+13	1.62e+41	6.75e+40
59604.61	7.95e+03	6.15e+02	3.80e+14	5.35e+13	4.11e+41	1.72e+41
59604.61	7.95e+03	6.15e+02	3.41e+14	4.79e+13	3.30e+41	1.38e+41
59620.60	7.95e+03	6.15e+02	9.30e+13	1.31e+13	2.46e+40	1.03e+40
59620.61	7.95e+03	6.15e+02	3.41e+14	4.80e+13	3.31e+41	1.38e+41
59623.56	7.95e+03	6.15e+02	3.14e+14	4.42e+13	2.81e+41	1.17e+41
59623.56	7.95e+03	6.15e+02	2.85e+14	4.01e+13	2.32e+41	9.68e+40
59625.61	7.95e+03	6.15e+02	2.56e+14	3.60e+13	1.86e+41	7.80e+40
59625.61	7.95e+03	6.15e+02	7.60e+13	1.07e+13	1.65e+40	6.88e+39
59627.61	7.95e+03	6.15e+02	2.76e+14	3.88e+13	2.17e+41	9.06e+40
59650.48	7.95e+03	6.15e+02	8.24e+13	1.16e+13	1.93e+40	8.08e+39
59653.51	7.95e+03	6.15e+02	4.54e+14	6.39e+13	5.88e+41	2.46e+41
59653.51	7.95e+03	6.15e+02	4.59e+14	6.46e+13	6.01e+41	2.51e+41
59662.48	7.95e+03	6.15e+02	1.15e+14	1.62e+13	3.77e+40	1.57e+40
59662.48	7.95e+03	6.15e+02	2.94e+14	4.13e+13	2.46e+41	1.03e+41
59678.42	7.95e+03	6.15e+02	2.10e+14	2.95e+13	1.26e+41	5.25e+40
59678.42	7.95e+03	6.15e+02	2.67e+14	3.75e+13	2.03e+41	8.48e+40
59693.39	7.95e+03	6.15e+02	2.91e+14	4.09e+13	2.41e+41	1.01e+41
59693.39	7.95e+03	6.15e+02	4.12e+14	5.79e+13	4.83e+41	2.02e+41
59695.32	7.95e+03	6.15e+02	1.29e+14	1.82e+13	4.74e+40	1.98e+40
59695.32	7.95e+03	6.15e+02	2.86e+14	4.02e+13	2.33e+41	9.73e+40
59711.38	7.95e+03	6.15e+02	1.79e+14	2.52e+13	9.12e+40	3.81e+40
59712.33	7.95e+03	6.15e+02	1.06e+14	1.49e+13	3.20e+40	1.34e+40
59714.50	7.95e+03	6.15e+02	2.83e+14	3.98e+13	2.28e+41	9.53e+40
59717.35	7.95e+03	6.15e+02	2.80e+14	3.94e+13	2.23e+41	9.34e+40
59717.35	7.95e+03	6.15e+02	2.32e+14	3.26e+13	1.53e+41	6.40e+40
59726.26	7.95e+03	6.15e+02	3.12e+14	4.39e+13	2.77e+41	1.16e+41
59726.27	7.95e+03	6.15e+02	3.28e+14	4.62e+13	3.07e+41	1.28e+41
59731.26	7.95e+03	6.15e+02	2.70e+14	3.80e+13	2.07e+41	8.68e+40
59731.26	7.95e+03	6.15e+02	3.35e+14	4.71e+13	3.20e+41	1.34e+41
59734.27	7.95e+03	6.15e+02	3.13e+14	4.40e+13	2.79e+41	1.17e+41
59734.27	7.95e+03	6.15e+02	3.71e+14	5.22e+13	3.92e+41	1.64e+41
59767.27	7.95e+03	6.15e+02	3.04e+14	4.28e+13	2.63e+41	1.10e+41
59767.27	7.95e+03	6.15e+02	3.57e+14	5.02e+13	3.63e+41	1.52e+41
59772.29	7.95e+03	6.15e+02	2.76e+14	3.88e+13	2.17e+41	9.07e+40
59772.30	7.95e+03	6.15e+02	4.24e+14	5.96e+13	5.11e+41	2.14e+41
59776.30	7.95e+03	6.15e+02	3.03e+14	4.26e+13	2.61e+41	1.09e+41
59780.30	7.95e+03	6.15e+02	3.31e+14	4.65e+13	3.12e+41	1.30e+41
59780.31	7.95e+03	6.15e+02	2.79e+14	3.92e+13	2.21e+41	9.24e+40
59781.26	7.95e+03	6.15e+02	2.99e+14	4.21e+13	2.55e+41	1.06e+41
59789.27	7.95e+03	6.15e+02	1.44e+14	2.02e+13	5.89e+40	2.46e+40
59802.30	7.95e+03	6.15e+02	2.63e+14	3.70e+13	1.97e+41	8.23e+40
59806.32	7.95e+03	6.15e+02	1.82e+14	2.56e+13	9.41e+40	3.94e+40
59806.32	7.95e+03	6.15e+02	2.43e+14	3.42e+13	1.68e+41	7.03e+40
59811.25	7.95e+03	6.15e+02	1.11e+14	1.56e+13	3.52e+40	1.47e+40
59820.25	7.95e+03	6.15e+02	1.29e+14	1.81e+13	4.71e+40	1.97e+40
