# ph	Lobs	err	L+BB	err	

59876.40	4.00e+40	3.98e+40	1.04e+41	5.37e+40
59881.28	5.04e+40	5.01e+40	1.31e+41	6.76e+40
59881.28	6.29e+40	6.26e+40	1.64e+41	8.45e+40
59908.22	1.23e+41	1.22e+41	3.20e+41	1.65e+41

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_2020tly_gwrizy.txt and logL-bb_2020tly_gwrizy.txt for simple LC files
# Methodology:
# filters used:gwrizy
# redshift used:0.058
# extinction used:0.0
# Wavelengths used in observer frame (data already K-corrected?)
# BB fit below 1A suppressed by factor (lamda/1)^0
