##phase	g	err	w	err	r	err	i	err	z	err	y	err	
#
59195.32	22.16	1.20	22.16	1.20	22.16	1.20	22.16	1.20	22.16	1.20	22.16	1.20
59195.32	21.52	1.20	21.52	1.20	21.52	1.20	21.52	1.20	21.52	1.20	21.52	1.20
59195.34	24.15	1.20	24.15	1.20	24.15	1.20	24.15	1.20	24.15	1.20	24.15	1.20
59195.34	21.37	1.20	21.37	1.20	21.37	1.20	21.37	1.20	21.37	1.20	21.37	1.20
59197.27	21.82	1.20	21.82	1.20	21.82	1.20	21.82	1.20	21.82	1.20	21.82	1.20
59197.27	20.55	1.20	20.55	1.20	20.55	1.20	20.55	1.20	20.55	1.20	20.55	1.20
59197.30	20.95	1.20	20.95	1.20	20.95	1.20	20.95	1.20	20.95	1.20	20.95	1.20
59199.28	21.82	1.20	21.82	1.20	21.82	1.20	21.82	1.20	21.82	1.20	21.82	1.20
59199.32	21.66	1.20	21.66	1.20	21.66	1.20	21.66	1.20	21.66	1.20	21.66	1.20
59381.58	21.96	1.20	21.96	1.20	21.96	1.20	21.96	1.20	21.96	1.20	21.96	1.20
59381.58	23.25	1.20	23.25	1.20	23.25	1.20	23.25	1.20	23.25	1.20	23.25	1.20
59385.60	28.70	1.20	28.70	1.20	28.70	1.20	28.70	1.20	28.70	1.20	28.70	1.20
59390.60	21.72	1.20	21.72	1.20	21.72	1.20	21.72	1.20	21.72	1.20	21.72	1.20
59390.60	23.98	1.20	23.98	1.20	23.98	1.20	23.98	1.20	23.98	1.20	23.98	1.20
59400.57	23.14	1.20	23.14	1.20	23.14	1.20	23.14	1.20	23.14	1.20	23.14	1.20
59400.57	23.36	1.20	23.36	1.20	23.36	1.20	23.36	1.20	23.36	1.20	23.36	1.20
59401.56	22.82	1.20	22.82	1.20	22.82	1.20	22.82	1.20	22.82	1.20	22.82	1.20
59410.56	25.97	1.20	25.97	1.20	25.97	1.20	25.97	1.20	25.97	1.20	25.97	1.20
59412.51	22.41	1.20	22.41	1.20	22.41	1.20	22.41	1.20	22.41	1.20	22.41	1.20
59417.52	23.34	1.20	23.34	1.20	23.34	1.20	23.34	1.20	23.34	1.20	23.34	1.20
59417.52	21.40	1.20	21.40	1.20	21.40	1.20	21.40	1.20	21.40	1.20	21.40	1.20
59420.56	21.77	1.20	21.77	1.20	21.77	1.20	21.77	1.20	21.77	1.20	21.77	1.20
59428.52	22.01	1.20	22.01	1.20	22.01	1.20	22.01	1.20	22.01	1.20	22.01	1.20
59428.53	27.20	1.20	27.20	1.20	27.20	1.20	27.20	1.20	27.20	1.20	27.20	1.20
59431.48	22.30	1.20	22.30	1.20	22.30	1.20	22.30	1.20	22.30	1.20	22.30	1.20
59438.62	25.18	1.20	25.18	1.20	25.18	1.20	25.18	1.20	25.18	1.20	25.18	1.20
59446.59	22.69	1.20	22.69	1.20	22.69	1.20	22.69	1.20	22.69	1.20	22.69	1.20
59448.60	22.14	1.20	22.14	1.20	22.14	1.20	22.14	1.20	22.14	1.20	22.14	1.20
59455.60	22.41	1.20	22.41	1.20	22.41	1.20	22.41	1.20	22.41	1.20	22.41	1.20
59455.60	25.13	1.20	25.13	1.20	25.13	1.20	25.13	1.20	25.13	1.20	25.13	1.20
